Description,First,Second,My,WuPalmer,Resnik,Lin,BERT,FirstDefinition,SecondDefinition
"When a report of a snake on the loose came in, this police department sent their 'snake whisperer'",police,report,0,0.27,0.07,0.07,0.39,the force of policemen and officers,the general estimation that the public has for a person
Tunisia's Ons Jabeur recovers from a mid-match struggle to become the first African player to win a WTA 1000 event.,struggle,player,0,0.17,0,0,0.33,an open clash between two opposing groups (or individuals); --Thomas Paine,a person who participates in or is skilled at some game
England and Australia will pay tribute to the victims of the Nottingham attacks on day one of the first men's Ashes Test and sole women's Test.,tribute,victims,0,0.11,0,0,0.49,payment extorted by gangsters on threat of violence,an unfortunate person who suffers from some adverse circumstance
A documentary about the Nan Goldin-led protests against the Sackler family aims for more award glory.,glory,protests,0,0.29,0.05,0.06,0.33,an indication of radiant light drawn around the head of a saint,the act of protesting; a public (often organized) manifestation of dissent
The Met Police apologises for not disclosing documents it says were found in a cabinet at its HQ.,police,hq,0,0.13,0,0,0.53,the force of policemen and officers,the military installation from which a commander performs the functions of command
"We are in the midst of a technological revolution, but productivity has not improved.",productivity,revolution,0,0.29,0.05,0.06,0.52,the quality of being productive or having the power to produce,a single complete turn (axial or orbital)
The Manchester-based fashion retailer says its model fell within the NHS standard of a healthy weight.,retailer,fashion,0.2,0.42,0.14,0.15,0.6,a merchant who sells goods at retail,consumer goods (especially clothing) in the current mode
One family spends six months turning their home into a must-see Halloween attraction.,home,months,0,0.31,0.08,0.09,0.46,a social unit living together,one of the twelve divisions of the calendar year
Britain's Keely Hodgkinson sets a world-leading time as she storms to a dominant 800m victory at the World Indoor Tour in Lievin.,victory,tour,0,0.25,0.07,0.07,0.46,a successful ending of a struggle or contest,a time for working (after which you will be relieved by someone else)
"The BBC's Jeremy Bowen returns to Irpin, where Ukrainian forces say they're pushing back Russians.",forces,russians,0.2,0.6,0.3,0.27,0.55,one possessing or exercising power or influence or authority,a native or inhabitant of Russia
Chloe Chong started karting on the same track as Lewis Hamilton - now she's at the same F1 race weekend.,track,weekend,0,0.14,0,0,0.63,any road or path affording passage especially a rough one,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
A collection of behind-the-scenes images of the star by a childhood friend go on display in Deal.,deal,childhood,0,0.31,0.06,0.06,0.23,an agreement between parties (usually arrived at after discussion) fixing obligations of each,the state of a child between infancy and adolescence
"Teachers in the biggest unions in England, Scotland and Wales are striking over pay.",england,scotland,1,0.9,0.84,0.75,0.66,a division of the United Kingdom,one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; located on the northern part of the island of Great Britain; famous for bagpipes and plaids and kilts
"Fears mount among more than 1,000 Palestinians that Israel’s army will force them to leave their homes in the occupied West Bank.",israel,army,0.2,0.11,0,0,0.53,Jewish republic in southwestern Asia at eastern end of Mediterranean; formerly part of Palestine,the army of the United States of America; the agency that organizes and trains soldiers for land warfare
"As the cost of animal care spirals, charities are going to extreme lengths to help families keep their pets.",animal,care,0,0.13,0,0,0.59,a living organism characterized by voluntary movement,an anxious feeling
